Average Zeroed Cap@174kHz,Average Zeroed Cap@224kHz,Average Zeroed Cap@287kHz,Average Zeroed Cap@368kHz,Average Zeroed Cap@473kHz,Average Zeroed Cap@607kHz,Average Zeroed Cap@779kHz,Average Zeroed Cap@1000kHz,Average Zeroed Cap@1284kHz,Average Zeroed Cap@1648kHz,Average Zeroed Cap@2115kHz,Group,Day,,,,,,,,,,,
1.47,1.126,0.934,0.921,0.628,0.672,0.628,0.655,0.516,0.567,0.406,5,7,,,,,,,,,,,
1.462,0.948,1.019,0.871,0.612,0.629,0.587,0.618,0.554,0.516,0.463,5,7,,,,,,,,,,,
1.348,1.13,1.016,0.647,0.711,0.707,0.56,0.736,0.528,0.501,0.41,5,7,,,,,,,,,,,
1.468,1.168,1.084,0.738,0.793,0.685,0.643,0.649,0.494,0.477,0.421,5,7,,,,,,,,,,,
1.631,1.182,1.157,0.911,0.631,0.613,0.678,0.715,0.534,0.504,0.432,5,7,,,,,,,,,,,
1.324,0.961,1.109,0.799,0.664,0.692,0.605,0.664,0.556,0.524,0.404,5,7,,,,,,,,,,,
1.335,1.103,1.108,0.792,0.61,0.634,0.659,0.647,0.506,0.542,0.511,5,7,,,,,,,,,,,
1.294,0.959,1.258,0.803,0.744,0.668,0.708,0.656,0.565,0.513,0.481,5,7,,,,,,,,,,,
1.334,1.132,1.09,1.027,0.675,0.698,0.618,0.711,0.563,0.576,0.44,5,7,,,,,,,,,,,
1.431,0.978,1.089,0.908,0.728,0.656,0.647,0.687,0.555,0.516,0.477,5,7,,,,,,,,,,,
1.397,0.988,0.814,0.725,0.669,0.677,0.643,0.668,0.555,0.402,0.442,5,7,,,,,,,,,,,
1.433,1.098,1.184,0.975,0.699,0.614,0.616,0.691,0.55,0.485,0.445,5,7,,,,,,,,,,,
1.595,0.976,0.994,0.833,0.63,0.628,0.617,0.698,0.602,0.469,0.443,5,7,,,,,,,,,,,
1.263,1.127,1.085,0.964,0.693,0.623,0.624,0.7,0.492,0.51,0.402,5,7,,,,,,,,,,,
1.511,1.096,1.105,0.94,0.578,0.64,0.619,0.591,0.517,0.473,0.456,5,7,,,,,,,,,,,
1.519,1.099,0.99,1.119,0.618,0.653,0.617,0.623,0.509,0.549,0.41,5,7,,,,,,,,,,,
1.46,0.942,1.094,0.808,0.567,0.611,0.575,0.688,0.48,0.471,0.392,5,7,,,,,,,,,,,
1.338,1.101,0.944,0.892,0.454,0.666,0.62,0.659,0.498,0.497,0.4,5,7,,,,,,,,,,,
1.4,1.064,0.937,0.819,0.632,0.636,0.614,0.64,0.545,0.507,0.494,5,7,,,,,,,,,,,
1.572,1.156,0.924,0.81,0.599,0.663,0.548,0.634,0.489,0.462,0.415,5,7,,,,,,,,,,,
1.477,1.126,1.014,0.752,0.705,0.667,0.631,0.651,0.512,0.476,0.455,5,7,,,,,,,,,,,
1.456,1.162,1.059,0.862,0.628,0.674,0.598,0.671,0.499,0.476,0.433,5,7,,,,,,,,,,,
1.551,1.134,1.144,0.945,0.709,0.671,0.638,0.608,0.497,0.44,0.413,5,7,,,,,,,,,,,
1.482,1.081,1.091,0.844,0.883,0.633,0.627,0.628,0.573,0.412,0.441,5,7,,,,,,,,,,,
1.537,0.927,1.112,0.955,0.825,0.6,0.627,0.609,0.521,0.482,0.41,5,7,,,,,,,,,,,
1.648,1.297,1.243,1.077,0.68,0.667,0.673,0.604,0.505,0.489,0.419,5,7,,,,,,,,,,,
1.569,1.108,0.986,0.991,0.528,0.596,0.631,0.625,0.542,0.469,0.448,5,7,,,,,,,,,,,
1.419,1.062,1.06,1.054,0.821,0.703,0.611,0.662,0.535,0.515,0.441,5,7,,,,,,,,,,,
1.572,1.021,1.124,0.767,0.754,0.691,0.576,0.653,0.466,0.475,0.398,5,7,,,,,,,,,,,
1.515,1.027,1.251,1.067,0.574,0.614,0.644,0.621,0.508,0.498,0.383,5,7,,,,,,,,,,,
1.675,1.146,1.231,0.984,0.657,0.766,0.649,0.614,0.471,0.476,0.377,5,7,,,,,,,,,,,
1.467,1.125,1.191,0.957,0.706,0.675,0.592,0.666,0.523,0.514,0.425,5,7,,,,,,,,,,,
1.671,1.071,1.152,0.99,0.81,0.631,0.644,0.555,0.507,0.511,0.445,5,7,,,,,,,,,,,
1.446,1.181,1.147,0.847,0.777,0.644,0.661,0.573,0.489,0.43,0.394,5,7,,,,,,,,,,,
1.612,1.079,1.007,0.836,0.747,0.598,0.565,0.682,0.536,0.47,0.426,5,7,,,,,,,,,,,
1.507,1.184,0.878,0.869,0.458,0.517,0.443,0.504,0.333,0.299,0.214,6,7,,,,,,,,,,,
1.525,1.282,1.149,0.688,0.657,0.504,0.445,0.494,0.321,0.403,0.206,6,7,,,,,,,,,,,
1.681,1.12,0.828,0.959,0.745,0.538,0.478,0.576,0.304,0.289,0.194,6,7,,,,,,,,,,,
1.547,1.092,0.959,0.592,0.774,0.53,0.537,0.468,0.255,0.32,0.328,6,7,,,,,,,,,,,
1.437,1.005,1.068,0.669,0.558,0.44,0.474,0.457,0.388,0.306,0.268,6,7,,,,,,,,,,,
1.488,1,1.128,0.883,0.51,0.567,0.409,0.426,0.303,0.271,0.264,6,7,,,,,,,,,,,
1.539,0.962,1.073,0.744,0.753,0.522,0.364,0.455,0.373,0.436,0.33,6,7,,,,,,,,,,,
1.618,1.182,1.048,0.844,0.664,0.496,0.413,0.441,0.301,0.333,0.277,6,7,,,,,,,,,,,
1.491,1.223,1.01,0.69,0.41,0.455,0.398,0.468,0.272,0.361,0.175,6,7,,,,,,,,,,,
1.56,1.007,1.058,0.809,0.494,0.47,0.442,0.432,0.263,0.298,0.223,6,7,,,,,,,,,,,
1.365,1.212,1.129,0.627,0.492,0.418,0.457,0.421,0.321,0.246,0.136,6,7,,,,,,,,,,,
1.511,0.969,1.008,0.714,0.521,0.465,0.448,0.354,0.308,0.265,0.161,6,7,,,,,,,,,,,
1.559,1.103,1.018,0.641,0.433,0.418,0.395,0.413,0.298,0.24,0.167,6,7,,,,,,,,,,,
1.487,1.018,1.089,0.613,0.665,0.5,0.403,0.392,0.195,0.302,0.175,6,7,,,,,,,,,,,
1.416,0.929,0.943,0.854,0.439,0.474,0.428,0.428,0.327,0.192,0.149,6,7,,,,,,,,,,,
1.454,1.183,1.097,0.763,0.603,0.46,0.443,0.375,0.297,0.229,0.198,6,7,,,,,,,,,,,
1.515,1.131,1.033,0.809,0.369,0.417,0.39,0.388,0.252,0.156,0.208,6,7,,,,,,,,,,,
1.576,1.009,0.955,0.614,0.647,0.465,0.369,0.405,0.239,0.264,0.134,6,7,,,,,,,,,,,
1.585,1.324,0.914,0.659,0.506,0.484,0.428,0.383,0.272,0.162,0.147,6,7,,,,,,,,,,,
1.423,0.897,1.036,0.671,0.561,0.47,0.368,0.401,0.24,0.269,0.112,6,7,,,,,,,,,,,
1.551,1.259,1.032,0.629,0.677,0.495,0.421,0.518,0.355,0.326,0.188,6,7,,,,,,,,,,,
1.484,1.181,0.909,0.813,0.515,0.388,0.374,0.406,0.21,0.204,0.172,6,7,,,,,,,,,,,
1.579,1.186,0.918,0.779,0.497,0.463,0.4,0.413,0.273,0.238,0.105,6,7,,,,,,,,,,,
1.582,1.091,1.145,0.713,0.475,0.446,0.33,0.351,0.252,0.216,0.118,6,7,,,,,,,,,,,
1.381,1.159,0.936,0.697,0.677,0.472,0.391,0.408,0.156,0.169,0.135,6,7,,,,,,,,,,,
1.514,1.119,1.017,0.612,0.431,0.436,0.388,0.389,0.22,0.16,0.146,6,7,,,,,,,,,,,
1.59,1.003,0.981,0.727,0.568,0.404,0.346,0.439,0.232,0.216,0.095,6,7,,,,,,,,,,,
1.354,1.156,0.947,0.756,0.521,0.389,0.328,0.32,0.223,0.197,0.12,6,7,,,,,,,,,,,
1.596,1.071,0.926,0.646,0.515,0.378,0.37,0.413,0.261,0.211,0.109,6,7,,,,,,,,,,,
1.53,1.015,1.002,0.733,0.551,0.457,0.395,0.353,0.241,0.148,0.142,6,7,,,,,,,,,,,
1.581,1.12,0.965,0.709,0.489,0.505,0.482,0.461,0.354,0.332,0.193,6,7,,,,,,,,,,,
1.466,1.146,0.998,0.752,0.818,0.541,0.478,0.462,0.346,0.267,0.216,6,7,,,,,,,,,,,
1.493,1.145,1.18,0.878,0.595,0.559,0.517,0.507,0.357,0.356,0.253,6,7,,,,,,,,,,,
1.813,1.191,1.162,0.891,0.697,0.543,0.458,0.509,0.367,0.301,0.291,6,7,,,,,,,,,,,
1.562,1.171,1.122,0.767,0.667,0.51,0.447,0.51,0.349,0.322,0.267,6,7,,,,,,,,,,,
1.716,1.24,1.213,0.815,0.664,0.53,0.513,0.48,0.332,0.334,0.289,6,7,,,,,,,,,,,
1.675,1.115,1.066,0.899,0.578,0.557,0.482,0.507,0.371,0.357,0.235,6,7,,,,,,,,,,,
1.528,1.313,1.143,0.983,0.522,0.456,0.58,0.468,0.419,0.345,0.269,6,7,,,,,,,,,,,
1.753,1.111,1.11,0.901,0.758,0.567,0.5,0.536,0.394,0.379,0.293,6,7,,,,,,,,,,,
1.984,1.175,1.138,0.867,0.649,0.588,0.502,0.515,0.433,0.356,0.284,6,7,,,,,,,,,,,
1.762,1.186,1.204,0.903,0.649,0.486,0.507,0.503,0.397,0.357,0.217,6,7,,,,,,,,,,,
1.831,1.244,1.018,0.821,0.537,0.554,0.471,0.519,0.339,0.38,0.3,6,7,,,,,,,,,,,
1.682,1.188,1.254,0.745,0.712,0.572,0.555,0.469,0.4,0.337,0.243,6,7,,,,,,,,,,,
1.848,1.259,1.295,0.767,0.732,0.569,0.516,0.476,0.418,0.378,0.312,6,7,,,,,,,,,,,
1.693,1.18,0.924,0.788,0.609,0.576,0.518,0.552,0.43,0.401,0.319,6,7,,,,,,,,,,,
1.632,1.168,0.958,0.722,0.583,0.571,0.497,0.515,0.366,0.251,0.249,6,7,,,,,,,,,,,
1.685,1.134,1.259,0.891,0.475,0.562,0.517,0.51,0.352,0.316,0.201,6,7,,,,,,,,,,,
1.67,1.278,0.961,0.77,0.542,0.549,0.472,0.526,0.353,0.297,0.257,6,7,,,,,,,,,,,
1.593,1.167,1.286,0.945,0.666,0.56,0.454,0.476,0.356,0.306,0.17,6,7,,,,,,,,,,,
1.75,1.34,1.105,1.004,0.584,0.508,0.439,0.494,0.355,0.315,0.288,6,7,,,,,,,,,,,
1.731,1.184,1.069,0.879,0.654,0.553,0.456,0.415,0.343,0.282,0.287,6,7,,,,,,,,,,,
1.751,1.169,0.923,0.816,0.525,0.485,0.468,0.49,0.406,0.286,0.239,6,7,,,,,,,,,,,
1.609,1.304,1.174,0.667,0.633,0.549,0.478,0.474,0.444,0.284,0.215,6,7,,,,,,,,,,,
1.828,1.204,1.216,0.901,0.717,0.531,0.489,0.459,0.286,0.312,0.24,6,7,,,,,,,,,,,
1.698,1.065,1.257,0.721,0.73,0.515,0.462,0.49,0.359,0.276,0.22,6,7,,,,,,,,,,,
1.468,1.342,1.183,0.848,0.677,0.505,0.486,0.46,0.36,0.283,0.285,6,7,,,,,,,,,,,
1.564,1.162,1.189,0.771,0.817,0.483,0.525,0.45,0.3,0.31,0.204,6,7,,,,,,,,,,,
2,1.255,1.196,0.84,0.665,0.482,0.504,0.453,0.351,0.235,0.267,6,7,,,,,,,,,,,
1.798,1.245,1.029,0.743,0.535,0.525,0.476,0.557,0.303,0.291,0.277,6,7,,,,,,,,,,,
1.646,1.208,1.062,0.617,0.446,0.428,0.399,0.503,0.394,0.308,0.12,6,7,,,,,,,,,,,
1.691,1.095,0.935,0.947,0.537,0.443,0.467,0.509,0.305,0.325,0.171,7,7,,,,,,,,,,,
1.705,1.115,1.113,0.953,0.448,0.552,0.571,0.535,0.341,0.268,0.257,7,7,,,,,,,,,,,
1.436,1.028,0.989,0.848,0.741,0.539,0.491,0.59,0.389,0.356,0.303,7,7,,,,,,,,,,,
1.724,0.962,1.04,0.894,0.649,0.438,0.405,0.436,0.319,0.263,0.198,7,7,,,,,,,,,,,
1.784,1.031,1.167,0.615,0.69,0.474,0.457,0.462,0.337,0.267,0.247,7,7,,,,,,,,,,,
1.623,0.944,0.764,0.781,0.691,0.502,0.421,0.453,0.323,0.28,0.185,7,7,,,,,,,,,,,
1.506,1.04,0.942,0.807,0.55,0.481,0.437,0.456,0.293,0.309,0.281,7,7,,,,,,,,,,,
1.504,0.901,1.058,0.669,0.59,0.471,0.436,0.397,0.276,0.246,0.185,7,7,,,,,,,,,,,
1.694,1.245,0.932,0.728,0.416,0.443,0.423,0.424,0.31,0.322,0.258,7,7,,,,,,,,,,,
1.567,0.939,1.123,0.933,0.528,0.455,0.412,0.444,0.267,0.223,0.155,7,7,,,,,,,,,,,
1.661,1.062,1.01,0.799,0.463,0.439,0.387,0.498,0.264,0.317,0.265,7,7,,,,,,,,,,,
1.437,1.113,0.953,0.812,0.644,0.455,0.428,0.434,0.276,0.234,0.216,7,7,,,,,,,,,,,
1.708,1.042,0.988,0.816,0.595,0.434,0.419,0.443,0.272,0.281,0.137,7,7,,,,,,,,,,,
1.602,1.263,0.85,0.741,0.651,0.511,0.494,0.429,0.297,0.313,0.175,7,7,,,,,,,,,,,
1.678,1.229,1.074,0.838,0.476,0.46,0.412,0.434,0.277,0.254,0.203,7,7,,,,,,,,,,,
1.66,0.981,0.957,0.955,0.606,0.486,0.392,0.416,0.311,0.227,0.173,7,7,,,,,,,,,,,
1.627,1.014,1.068,0.844,0.589,0.514,0.396,0.424,0.282,0.201,0.25,7,7,,,,,,,,,,,
1.89,0.995,0.822,0.873,0.595,0.409,0.386,0.347,0.275,0.282,0.132,7,7,,,,,,,,,,,
1.672,1.157,1.109,0.699,0.469,0.488,0.357,0.365,0.287,0.295,0.199,7,7,,,,,,,,,,,
1.508,1.212,0.989,0.67,0.42,0.5,0.401,0.423,0.298,0.263,0.143,7,7,,,,,,,,,,,
1.876,1.309,0.95,0.835,0.6,0.497,0.41,0.492,0.344,0.227,0.197,7,7,,,,,,,,,,,
1.625,1.129,1.117,0.896,0.614,0.474,0.394,0.468,0.308,0.28,0.148,7,7,,,,,,,,,,,
1.766,1.067,0.852,0.633,0.711,0.489,0.424,0.46,0.24,0.322,0.076,7,7,,,,,,,,,,,
1.945,1.265,1.076,0.627,0.534,0.444,0.393,0.423,0.217,0.21,0.164,7,7,,,,,,,,,,,
1.638,1.134,1.303,0.847,0.56,0.569,0.421,0.448,0.272,0.286,0.284,7,7,,,,,,,,,,,
1.933,1.137,0.84,0.838,0.557,0.446,0.36,0.417,0.262,0.2,0.248,7,7,,,,,,,,,,,
1.702,1.105,0.875,0.832,0.47,0.486,0.464,0.398,0.259,0.247,0.214,7,7,,,,,,,,,,,
1.678,1.17,1.202,0.799,0.614,0.493,0.401,0.474,0.349,0.24,0.23,7,7,,,,,,,,,,,
1.833,1.187,0.853,0.899,0.494,0.488,0.427,0.408,0.266,0.187,0.242,7,7,,,,,,,,,,,
1.724,1.078,0.911,0.788,0.573,0.535,0.426,0.396,0.314,0.282,0.228,7,7,,,,,,,,,,,
1.431,1.107,1.149,0.775,0.752,0.433,0.464,0.434,0.266,0.232,0.214,7,7,,,,,,,,,,,
1.583,0.97,1.272,0.674,0.642,0.475,0.406,0.42,0.331,0.258,0.153,7,7,,,,,,,,,,,
1.549,1.17,1.15,0.725,0.389,0.42,0.395,0.439,0.244,0.237,0.179,7,7,,,,,,,,,,,
1.63,1.132,1.229,0.596,0.545,0.54,0.38,0.428,0.285,0.291,0.081,7,7,,,,,,,,,,,
1.669,0.984,1.261,0.82,0.396,0.379,0.467,0.415,0.312,0.25,0.165,7,7,,,,,,,,,,,
1.659,1.178,1.327,0.878,0.521,0.417,0.479,0.488,0.29,0.266,0.203,7,7,,,,,,,,,,,
1.638,1.011,1.115,0.679,0.544,0.441,0.425,0.417,0.248,0.206,0.103,7,7,,,,,,,,,,,
1.616,1.101,1.177,0.822,0.658,0.445,0.394,0.385,0.273,0.231,0.127,7,7,,,,,,,,,,,
1.713,1.119,1.229,0.821,0.46,0.432,0.379,0.383,0.227,0.224,0.111,7,7,,,,,,,,,,,
1.561,1.089,0.947,0.634,0.639,0.448,0.354,0.317,0.239,0.213,0.181,7,7,,,,,,,,,,,
1.522,1.066,1.305,0.679,0.599,0.398,0.391,0.429,0.303,0.295,0.142,7,7,,,,,,,,,,,
1.663,1.148,1.102,0.658,0.669,0.474,0.378,0.386,0.281,0.228,0.176,7,7,,,,,,,,,,,
1.569,1.052,1.12,0.749,0.526,0.445,0.418,0.396,0.263,0.293,0.225,7,7,,,,,,,,,,,
1.694,1.123,1.034,0.702,0.612,0.442,0.427,0.479,0.235,0.231,0.146,7,7,,,,,,,,,,,
1.693,1.085,0.927,0.748,0.445,0.453,0.374,0.388,0.262,0.211,0.192,7,7,,,,,,,,,,,
1.44,1.044,1.037,0.872,0.505,0.444,0.363,0.386,0.267,0.263,0.128,7,7,,,,,,,,,,,
1.527,1.047,1.006,0.926,0.647,0.406,0.428,0.417,0.242,0.191,0.128,7,7,,,,,,,,,,,
1.627,0.854,1.103,0.76,0.698,0.414,0.423,0.396,0.299,0.214,0.123,7,7,,,,,,,,,,,
1.757,1.137,1.082,0.709,0.428,0.398,0.364,0.409,0.25,0.194,0.13,7,7,,,,,,,,,,,
1.52,1.178,1.018,0.773,0.464,0.437,0.402,0.337,0.289,0.178,0.165,7,7,,,,,,,,,,,
1.684,1.083,1.139,0.798,0.505,0.402,0.296,0.371,0.256,0.205,0.139,7,7,,,,,,,,,,,
1.772,1.079,1.057,0.892,0.445,0.481,0.328,0.406,0.195,0.198,0.125,7,7,,,,,,,,,,,
1.704,1.006,1.119,0.719,0.512,0.424,0.385,0.376,0.225,0.156,0.136,7,7,,,,,,,,,,,
2.02,1.069,1.237,0.763,0.632,0.412,0.281,0.367,0.221,0.187,0.164,7,7,,,,,,,,,,,
1.933,1.193,0.886,0.831,0.372,0.393,0.409,0.374,0.202,0.182,0.144,7,7,,,,,,,,,,,
1.753,1.143,0.582,0.596,0.45,0.427,0.345,0.379,0.201,0.124,0.159,7,7,,,,,,,,,,,
1.681,1.143,0.877,0.809,0.665,0.372,0.363,0.354,0.215,0.269,0.173,7,7,,,,,,,,,,,
1.557,1.043,1.152,0.609,0.497,0.385,0.337,0.442,0.168,0.227,0.108,7,7,,,,,,,,,,,
1.796,1.084,1.128,0.581,0.48,0.422,0.408,0.371,0.245,0.18,0.166,7,7,,,,,,,,,,,
1.836,1.108,1.018,0.768,0.579,0.451,0.348,0.347,0.23,0.168,0.163,7,7,,,,,,,,,,,
1.595,1.136,0.942,0.819,0.512,0.505,0.421,0.485,0.367,0.314,0.228,8,7,,,,,,,,,,,
1.727,1.038,0.918,0.807,0.619,0.471,0.418,0.505,0.331,0.325,0.209,8,7,,,,,,,,,,,
1.429,1.224,0.963,0.823,0.41,0.447,0.466,0.459,0.304,0.319,0.206,8,7,,,,,,,,,,,
1.568,1.018,0.933,0.807,0.612,0.485,0.541,0.476,0.398,0.335,0.213,8,7,,,,,,,,,,,
1.454,1.014,0.923,0.731,0.373,0.426,0.397,0.454,0.301,0.237,0.221,8,7,,,,,,,,,,,
1.463,0.814,0.95,0.819,0.5,0.447,0.393,0.417,0.274,0.243,0.172,8,7,,,,,,,,,,,
1.56,0.993,1.084,0.691,0.522,0.487,0.429,0.455,0.335,0.263,0.169,8,7,,,,,,,,,,,
1.645,1.02,0.979,0.828,0.466,0.425,0.432,0.431,0.342,0.287,0.184,8,7,,,,,,,,,,,
1.533,0.952,1.115,0.73,0.627,0.413,0.385,0.423,0.323,0.282,0.176,8,7,,,,,,,,,,,
1.464,0.944,0.869,0.63,0.559,0.389,0.408,0.394,0.289,0.214,0.103,8,7,,,,,,,,,,,
1.486,0.91,0.949,0.696,0.517,0.447,0.468,0.399,0.296,0.257,0.182,8,7,,,,,,,,,,,
1.629,0.942,0.84,0.7,0.498,0.486,0.395,0.448,0.304,0.317,0.226,8,7,,,,,,,,,,,
1.59,0.939,0.943,0.891,0.618,0.463,0.398,0.421,0.298,0.223,0.138,8,7,,,,,,,,,,,
1.637,1.189,0.996,0.813,0.736,0.444,0.37,0.385,0.278,0.27,0.202,8,7,,,,,,,,,,,
1.407,0.916,0.853,0.891,0.394,0.405,0.4,0.365,0.302,0.217,0.099,8,7,,,,,,,,,,,
1.528,1.152,0.942,0.597,0.501,0.43,0.404,0.418,0.227,0.261,0.107,8,7,,,,,,,,,,,
1.452,1.238,1.116,0.542,0.499,0.348,0.365,0.327,0.263,0.23,0.239,8,7,,,,,,,,,,,
1.573,1.107,0.995,0.677,0.529,0.443,0.374,0.379,0.236,0.223,0.093,8,7,,,,,,,,,,,
1.419,0.968,0.872,0.809,0.467,0.481,0.418,0.409,0.281,0.231,0.112,8,7,,,,,,,,,,,
1.586,0.963,0.998,0.593,0.565,0.478,0.365,0.368,0.281,0.265,0.149,8,7,,,,,,,,,,,
1.599,0.847,1.01,0.685,0.3,0.449,0.338,0.377,0.258,0.212,0.104,8,7,,,,,,,,,,,
1.601,0.967,0.944,0.515,0.531,0.407,0.376,0.361,0.213,0.251,0.109,8,7,,,,,,,,,,,
1.452,0.81,0.818,0.82,0.314,0.383,0.415,0.431,0.199,0.246,0.12,8,7,,,,,,,,,,,
1.712,1.227,0.876,0.564,0.408,0.43,0.393,0.413,0.235,0.239,0.118,8,7,,,,,,,,,,,
1.453,0.953,1.087,0.69,0.588,0.455,0.397,0.455,0.254,0.206,0.189,8,7,,,,,,,,,,,
1.673,1.062,0.986,0.596,0.699,0.402,0.359,0.387,0.198,0.215,0.113,8,7,,,,,,,,,,,
1.625,0.903,0.915,0.813,0.59,0.408,0.411,0.367,0.257,0.242,0.124,8,7,,,,,,,,,,,
1.615,0.924,0.957,0.73,0.378,0.378,0.345,0.394,0.3,0.268,0.154,8,7,,,,,,,,,,,
1.555,0.945,0.992,0.63,0.44,0.412,0.341,0.315,0.192,0.192,0.141,8,7,,,,,,,,,,,
1.574,1.015,0.97,0.746,0.438,0.418,0.346,0.378,0.268,0.237,0.156,8,7,,,,,,,,,,,
1.47,0.975,1.117,0.775,0.693,0.621,0.589,0.541,0.492,0.44,0.346,8,7,,,,,,,,,,,
1.545,1.03,1.211,0.956,0.661,0.639,0.577,0.654,0.454,0.499,0.373,8,7,,,,,,,,,,,
1.423,1.029,1.199,0.719,0.598,0.603,0.618,0.555,0.512,0.431,0.338,8,7,,,,,,,,,,,
1.739,0.998,0.983,0.909,0.598,0.543,0.608,0.614,0.439,0.44,0.398,8,7,,,,,,,,,,,
1.633,1.088,1.163,0.85,0.646,0.6,0.606,0.549,0.463,0.456,0.356,8,7,,,,,,,,,,,
1.583,1.005,1.111,0.808,0.514,0.578,0.549,0.592,0.466,0.492,0.404,8,7,,,,,,,,,,,
1.629,1.24,1.247,0.956,0.746,0.589,0.669,0.531,0.482,0.465,0.336,8,7,,,,,,,,,,,
1.471,0.915,1.104,0.881,0.82,0.666,0.586,0.584,0.44,0.494,0.394,8,7,,,,,,,,,,,
1.427,1.095,1.236,1.008,0.499,0.648,0.562,0.622,0.45,0.48,0.328,8,7,,,,,,,,,,,
1.566,1.012,1.186,0.814,0.684,0.616,0.534,0.577,0.445,0.382,0.402,8,7,,,,,,,,,,,
1.672,1.054,1,0.936,0.706,0.624,0.515,0.583,0.49,0.424,0.345,8,7,,,,,,,,,,,
1.564,0.904,0.954,0.855,0.719,0.618,0.576,0.561,0.378,0.419,0.353,8,7,,,,,,,,,,,
1.468,1.18,1.255,0.941,0.597,0.594,0.527,0.622,0.552,0.372,0.358,8,7,,,,,,,,,,,
1.585,1.139,0.944,1.019,0.595,0.585,0.547,0.615,0.489,0.378,0.358,8,7,,,,,,,,,,,
1.536,1.168,1.021,0.709,0.574,0.62,0.518,0.543,0.415,0.485,0.391,8,7,,,,,,,,,,,
1.718,1.12,1.069,0.946,0.639,0.589,0.561,0.534,0.413,0.416,0.287,8,7,,,,,,,,,,,
1.75,1.069,1.027,0.809,0.48,0.58,0.579,0.545,0.375,0.339,0.304,8,7,,,,,,,,,,,
1.589,1.242,1.191,0.759,0.728,0.68,0.605,0.612,0.493,0.492,0.362,8,7,,,,,,,,,,,
1.641,1.069,1.042,0.646,0.558,0.564,0.567,0.513,0.464,0.47,0.373,8,7,,,,,,,,,,,
1.588,1.156,1.165,0.9,0.539,0.509,0.481,0.558,0.465,0.436,0.371,8,7,,,,,,,,,,,
1.457,1.087,0.924,0.69,0.532,0.567,0.444,0.605,0.477,0.456,0.331,8,7,,,,,,,,,,,
1.561,1.083,0.986,0.854,0.711,0.565,0.447,0.528,0.413,0.41,0.338,8,7,,,,,,,,,,,
1.498,1.154,0.856,0.849,0.713,0.632,0.604,0.584,0.485,0.404,0.34,8,7,,,,,,,,,,,
1.504,1.1,1.018,0.808,0.583,0.633,0.604,0.538,0.458,0.491,0.38,8,7,,,,,,,,,,,
1.688,1.105,0.854,0.869,0.927,0.629,0.562,0.572,0.484,0.407,0.272,8,7,,,,,,,,,,,
1.654,1.132,1.167,0.754,0.846,0.535,0.531,0.491,0.419,0.433,0.381,8,7,,,,,,,,,,,
1.522,1.023,0.975,0.867,0.836,0.535,0.5,0.587,0.411,0.449,0.358,8,7,,,,,,,,,,,
1.395,1.195,0.953,0.926,0.627,0.586,0.541,0.555,0.466,0.415,0.289,8,7,,,,,,,,,,,
1.563,1.201,1.048,0.779,0.825,0.597,0.541,0.581,0.412,0.471,0.369,8,7,,,,,,,,,,,
1.486,1.012,0.994,0.667,0.579,0.647,0.524,0.563,0.439,0.45,0.304,8,7,,,,,,,,,,,
0.896,0.815,0.458,0.621,0.281,0.437,0.135,0.163,0.183,-0.007,0.045,1,10,,,,,,,,,,,
0.937,0.803,0.567,0.661,0.481,0.358,0.127,0.123,0.158,0.035,-0.056,1,10,,,,,,,,,,,
0.902,0.807,0.517,0.772,0.344,0.274,0.15,0.17,0.149,0.034,0.055,1,10,,,,,,,,,,,
0.995,0.871,0.575,0.738,0.024,0.32,0.138,0.177,0.143,0.001,0.098,1,10,,,,,,,,,,,
0.905,0.765,0.491,0.744,0.291,0.324,0.125,0.136,0.185,-0.044,-0.038,1,10,,,,,,,,,,,
1.052,0.949,0.526,0.623,0.345,0.3,0.119,0.176,0.093,-0.035,0.069,1,10,,,,,,,,,,,
1.17,0.814,0.447,0.885,0.383,0.303,0.031,0.062,0.117,0.03,0.047,1,10,,,,,,,,,,,
1.095,0.96,0.366,0.71,0.326,0.248,0.125,0.134,0.121,-0.039,0.036,1,10,,,,,,,,,,,
0.985,0.989,0.614,0.654,0.265,0.26,0.066,0.192,0.162,0.017,-0.013,1,10,,,,,,,,,,,
1.047,0.787,0.406,0.502,0.403,0.258,0.124,0.107,0.125,0.003,0.05,1,10,,,,,,,,,,,
1.154,1.013,0.411,0.791,0.209,0.292,0.165,0.185,0.112,-0.046,0.024,1,10,,,,,,,,,,,
1.072,0.932,0.409,0.52,0.299,0.314,0.078,0.096,0.11,-0.051,0.03,1,10,,,,,,,,,,,
0.993,0.814,0.437,0.58,0.425,0.198,0.07,0.145,0.069,0.01,-0.007,1,10,,,,,,,,,,,
1.1,0.854,0.383,0.547,0.221,0.297,0.077,0.122,0.042,-0.029,-0.008,1,10,,,,,,,,,,,
1.036,1.006,0.483,0.714,0.358,0.257,0.11,0.13,0.065,-0.074,-0.008,1,10,,,,,,,,,,,
0.985,0.943,0.648,0.547,0.454,0.214,0.025,0.081,0.092,-0.041,0.043,1,10,,,,,,,,,,,
1.079,0.847,0.625,0.641,0.302,0.202,0.119,0.142,0.064,-0.048,-0.03,1,10,,,,,,,,,,,
1.111,0.842,0.528,0.427,0.2,0.243,0.066,0.134,0.145,-0.071,-0.029,1,10,,,,,,,,,,,
