Average Zeroed Cap@174kHz,Average Zeroed Cap@224kHz,Average Zeroed Cap@287kHz,Average Zeroed Cap@368kHz,Average Zeroed Cap@473kHz,Average Zeroed Cap@607kHz,Average Zeroed Cap@779kHz,Average Zeroed Cap@1000kHz,Average Zeroed Cap@1284kHz,Average Zeroed Cap@1648kHz,Average Zeroed Cap@2115kHz,Group,Day,,,,,,,,,,,
2.156,2.255,1.673,1.509,1.226,1.064,0.978,0.824,0.89,0.809,0.682,2,1,,,,,,,,,,,
2.256,1.99,1.65,1.24,1.219,1.092,0.977,0.894,0.842,0.745,0.681,2,1,,,,,,,,,,,
2.268,2.291,1.896,1.47,1.254,1.12,1.007,0.802,0.765,0.72,0.647,2,1,,,,,,,,,,,
2.493,2.183,1.641,1.369,1.226,1.027,0.954,0.902,0.763,0.777,0.626,2,1,,,,,,,,,,,
2.297,2.147,1.59,1.561,1.344,1.036,0.967,0.88,0.785,0.728,0.697,2,1,,,,,,,,,,,
2.277,2.331,1.686,1.511,1.148,1.057,1.002,0.881,0.697,0.747,0.669,2,1,,,,,,,,,,,
2.185,2.152,1.684,1.501,1.196,1.093,1.007,0.824,0.821,0.783,0.627,2,1,,,,,,,,,,,
2.282,2.151,1.684,1.41,1.233,1.076,0.989,0.907,0.817,0.81,0.641,2,1,,,,,,,,,,,
2.17,2.069,1.548,1.475,1.217,1.118,0.959,0.81,0.779,0.742,0.703,2,1,,,,,,,,,,,
2.415,2.3,1.615,1.49,1.196,1.108,1.057,0.864,0.808,0.707,0.661,2,1,,,,,,,,,,,
2.187,2.13,1.838,1.494,1.096,1.05,0.987,0.861,0.84,0.701,0.646,2,1,,,,,,,,,,,
2.391,2.138,1.639,1.287,1.178,1.075,0.961,0.87,0.768,0.759,0.711,2,1,,,,,,,,,,,
2.222,2.153,1.825,1.45,1.428,1.072,0.981,0.936,0.781,0.729,0.606,2,1,,,,,,,,,,,
2.179,2.163,1.739,1.519,1.178,1.082,1.002,0.843,0.858,0.654,0.693,2,1,,,,,,,,,,,
2.313,2.262,1.425,1.417,1.179,1.078,1.021,0.922,0.811,0.742,0.763,2,1,,,,,,,,,,,
2.285,2.067,1.721,1.293,1.212,1.139,1.009,0.83,0.816,0.767,0.656,2,1,,,,,,,,,,,
2.155,1.853,1.465,1.204,1.217,0.938,0.842,0.726,0.625,0.588,0.475,2,1,,,,,,,,,,,
2.112,2.006,1.597,1.101,1.1,0.872,0.805,0.682,0.673,0.62,0.459,2,1,,,,,,,,,,,
2.215,2.057,1.431,1.267,1.014,0.864,0.777,0.628,0.633,0.537,0.455,2,1,,,,,,,,,,,
2.075,1.964,1.406,1.092,0.906,0.889,0.836,0.711,0.579,0.554,0.495,2,1,,,,,,,,,,,
2.024,1.876,1.584,1.178,1.055,0.927,0.754,0.759,0.61,0.498,0.542,2,1,,,,,,,,,,,
2.141,2.022,1.319,1.089,1.008,0.885,0.759,0.721,0.656,0.55,0.493,2,1,,,,,,,,,,,
2.075,1.881,1.485,1.212,1.014,0.931,0.815,0.662,0.631,0.575,0.421,2,1,,,,,,,,,,,
1.901,2.01,1.435,1.25,1.034,0.897,0.777,0.627,0.658,0.492,0.506,2,1,,,,,,,,,,,
2.153,1.912,1.351,1.187,1.026,0.852,0.736,0.678,0.624,0.549,0.518,2,1,,,,,,,,,,,
2.112,1.918,1.48,1.07,0.897,0.894,0.781,0.638,0.597,0.536,0.476,2,1,,,,,,,,,,,
2.038,1.892,1.39,0.993,0.895,0.938,0.791,0.657,0.655,0.529,0.459,2,1,,,,,,,,,,,
1.97,1.957,1.518,1.094,1.09,0.894,0.803,0.669,0.59,0.577,0.442,2,1,,,,,,,,,,,
2.03,2.131,1.356,1.189,0.911,0.902,0.745,0.618,0.583,0.571,0.472,2,1,,,,,,,,,,,
2.04,2.077,1.275,1.173,1.022,0.896,0.754,0.638,0.629,0.5,0.486,2,1,,,,,,,,,,,
2.152,1.894,1.511,1.196,0.919,0.897,0.826,0.581,0.62,0.603,0.439,2,1,,,,,,,,,,,
2.182,2.059,1.425,1.159,0.952,0.925,0.798,0.673,0.607,0.508,0.451,2,1,,,,,,,,,,,
1.96,2.142,1.181,1.202,0.936,0.856,0.83,0.611,0.647,0.498,0.474,2,1,,,,,,,,,,,
2.213,2.132,1.288,1.164,1.118,0.837,0.798,0.695,0.573,0.528,0.465,2,1,,,,,,,,,,,
2.031,1.944,1.392,1.095,0.957,0.926,0.723,0.575,0.641,0.537,0.495,2,1,,,,,,,,,,,
2.188,2.009,1.422,1.279,0.942,0.889,0.738,0.693,0.65,0.543,0.438,2,1,,,,,,,,,,,
2.546,2.194,1.575,1.433,1.099,0.978,0.861,0.776,0.74,0.674,0.556,3,1,,,,,,,,,,,
2.385,2.368,1.491,1.298,1.163,0.918,0.924,0.712,0.727,0.714,0.59,3,1,,,,,,,,,,,
2.376,2.368,1.73,1.376,1.169,1.093,0.934,0.723,0.72,0.671,0.602,3,1,,,,,,,,,,,
2.471,2.419,1.649,1.35,1.235,1.002,0.911,0.773,0.696,0.632,0.533,3,1,,,,,,,,,,,
2.429,2.356,1.614,1.304,1.13,0.964,0.841,0.753,0.682,0.624,0.498,3,1,,,,,,,,,,,
2.444,2.338,1.635,1.37,1.175,1.029,0.841,0.614,0.677,0.592,0.453,3,1,,,,,,,,,,,
2.431,2.301,1.682,1.211,1.111,0.993,0.863,0.752,0.683,0.626,0.563,3,1,,,,,,,,,,,
2.468,2.051,1.685,1.347,1.16,0.982,0.888,0.709,0.751,0.667,0.534,3,1,,,,,,,,,,,
2.462,2.119,1.606,1.333,1.175,0.96,0.893,0.686,0.689,0.639,0.491,3,1,,,,,,,,,,,
2.507,2.332,1.55,1.3,1.24,1,0.862,0.668,0.692,0.665,0.531,3,1,,,,,,,,,,,
2.483,2.317,1.581,1.565,1.288,1.005,0.889,0.734,0.707,0.623,0.555,3,1,,,,,,,,,,,
2.655,2.222,1.675,1.213,1.309,0.954,0.909,0.735,0.716,0.587,0.534,3,1,,,,,,,,,,,
2.492,2.29,1.652,1.217,1.155,0.984,0.9,0.713,0.718,0.633,0.574,3,1,,,,,,,,,,,
2.669,2.155,1.56,1.185,1.163,1.035,0.836,0.725,0.677,0.675,0.573,3,1,,,,,,,,,,,
2.722,2.262,1.627,1.385,1.252,0.937,0.872,0.709,0.712,0.607,0.568,3,1,,,,,,,,,,,
2.406,2.234,1.66,1.324,1.236,1.027,0.913,0.75,0.673,0.591,0.536,3,1,,,,,,,,,,,
2.573,2.302,1.76,1.244,1.175,0.978,0.891,0.777,0.657,0.616,0.55,3,1,,,,,,,,,,,
2.567,2.146,1.576,1.391,1.115,0.947,0.868,0.783,0.66,0.664,0.523,3,1,,,,,,,,,,,
2.565,2.089,1.672,1.375,1.169,1.015,0.86,0.81,0.739,0.54,0.535,3,1,,,,,,,,,,,
2.407,2.437,1.778,1.359,0.993,0.942,0.851,0.828,0.684,0.594,0.488,3,1,,,,,,,,,,,
2.447,2.369,1.844,1.532,1.412,1.16,1.072,0.892,0.955,0.9,0.76,3,1,,,,,,,,,,,
2.523,2.378,1.809,1.46,1.286,1.221,1.064,0.94,0.91,0.867,0.792,3,1,,,,,,,,,,,
2.499,2.443,1.903,1.384,1.485,1.14,1.034,0.944,0.937,0.854,0.742,3,1,,,,,,,,,,,
2.571,2.395,1.799,1.653,1.37,1.211,1.036,0.988,0.89,0.826,0.753,3,1,,,,,,,,,,,
2.737,2.314,2.024,1.589,1.312,1.162,1.117,0.964,0.876,0.857,0.749,3,1,,,,,,,,,,,
2.411,2.442,1.68,1.619,1.476,1.177,1.078,0.919,0.916,0.842,0.772,3,1,,,,,,,,,,,
2.493,2.358,1.71,1.527,1.138,1.169,1.017,0.939,0.9,0.754,0.756,3,1,,,,,,,,,,,
2.389,2.222,1.686,1.548,1.483,1.226,1.083,0.931,0.908,0.807,0.741,3,1,,,,,,,,,,,
2.322,2.444,1.882,1.442,1.429,1.237,1.09,0.928,0.872,0.816,0.714,3,1,,,,,,,,,,,
2.485,2.426,1.897,1.504,1.409,1.109,1.03,0.984,0.861,0.795,0.692,3,1,,,,,,,,,,,
