Index,Events,Average Zeroed Cap@174kHz,Average Zeroed Cap@224kHz,Average Zeroed Cap@287kHz,Average Zeroed Cap@368kHz,Average Zeroed Cap@473kHz,Average Zeroed Cap@607kHz,Average Zeroed Cap@779kHz,Average Zeroed Cap@1000kHz,Average Zeroed Cap@1284kHz,Average Zeroed Cap@1648kHz,Average Zeroed Cap@2115kHz,Cell Type,Time Period,Cell Type.V1
86,0,-0.989,-0.408,0.046,0.378,0.206,0.23,0.237,0.289,0.31,0.316,0.204,chondro,24,2
87,0,0.238,0.569,0.92,0.761,0.584,0.8,0.462,0.527,0.56,0.556,0.461,chondro,24,2
88,0,-0.417,0.121,0.385,0.477,0.564,0.595,0.509,0.566,0.517,0.507,0.444,chondro,24,2
89,0,-0.432,0.026,0.311,0.407,0.396,0.563,0.529,0.566,0.538,0.45,0.449,chondro,24,2
65,Feed,2.419,2.083,1.628,1.077,1.005,0.809,0.728,0.685,0.624,0.684,0.576,chondro,48,2
66,0,2.562,2.003,1.396,1.054,1.033,0.867,0.718,0.746,0.572,0.699,0.585,chondro,48,2
67,0,2.407,2.137,1.353,1.05,0.981,0.83,0.781,0.732,0.552,0.664,0.467,chondro,48,2
68,0,2.646,2.133,1.466,0.93,0.967,0.883,0.772,0.696,0.567,0.744,0.54,chondro,48,2
69,0,2.512,2.155,1.621,1.124,1.107,0.896,0.681,0.709,0.587,0.677,0.515,chondro,48,2
105,Feed,2.186,2.292,1.82,1.642,1.695,1.44,1.318,1.274,1.207,1.304,1.138,chondro,48,2
106,0,2.431,2.387,1.778,1.43,1.534,1.357,1.322,1.324,1.223,1.293,1.069,chondro,48,2
107,0,2.478,2.293,1.785,1.629,1.626,1.476,1.269,1.262,1.19,1.3,1.14,chondro,48,2
108,0,2.635,2.445,2.11,1.959,2.072,1.94,1.808,1.819,1.738,1.759,1.676,chondro,48,2
109,0,2.51,2.435,2.161,2.131,2.062,1.926,1.886,1.802,1.69,1.792,1.688,chondro,48,2
119,Feed,2.962,2.725,1.977,1.58,1.53,1.345,1.24,1.259,1.167,1.168,1.034,chondro,48,2
120,0,2.981,2.59,1.981,1.714,1.582,1.47,1.334,1.227,1.133,1.202,0.992,chondro,48,2
121,0,3.084,2.639,1.809,1.758,1.461,1.391,1.273,1.245,1.076,1.207,1.049,chondro,48,2
122,0,2.864,2.71,1.922,1.612,1.667,1.424,1.252,1.233,1.121,1.182,1.046,chondro,48,2
123,0,3.055,2.657,1.822,1.583,1.644,1.381,1.253,1.174,1.13,1.15,1.088,chondro,48,2
130,Feed,2.645,2.431,1.878,1.868,1.767,1.615,1.543,1.563,1.44,1.482,1.395,chondro,48,2
131,0,2.821,2.412,1.972,1.903,1.807,1.671,1.548,1.625,1.442,1.549,1.361,chondro,48,2
132,0,2.805,2.657,1.94,1.716,1.906,1.716,1.588,1.514,1.424,1.472,1.372,chondro,48,2
133,0,3.001,2.56,2.022,1.732,1.819,1.673,1.52,1.532,1.496,1.528,1.416,chondro,48,2
134,0,2.876,2.656,2.044,1.853,1.757,1.7,1.579,1.545,1.521,1.579,1.45,chondro,48,2
