AREA,PERIMETER,CELL_ID,Lon,Lat,cdirjan,cdirfeb,cdirmar,cdirapr,cdirmay,cdirjun,cdirjul,cdiraug,cdirsep,cdiroct,cdirnov,cdirdec,cdirann
0.114,1.352,280096,91.67000000000,23.96900000000,5734,4685,4106,3214,3350,1530,1055,1659,1614,4984,5402,6400,3644
0.114,1.351,281096,91.32100000000,23.92100000000,5252,4299,3990,3264,3015,1495,1062,1482,1551,4342,4972,5585,3359
0.114,1.351,287097,89.17400000000,23.91100000000,4944,4093,4075,3527,3288,1512,1141,1672,2209,5354,4681,5388,3490
0.114,1.350,282096,90.97200000000,23.87200000000,4832,3868,3904,3180,2887,1334,957,1398,1532,4364,4654,5183,3174
0.114,1.350,288097,88.82800000000,23.85000000000,4498,3964,3867,3358,2913,1515,1058,1683,1950,4962,4289,4803,3238
0.113,1.349,283096,90.62500000000,23.82000000000,4847,3914,4041,3246,2943,1369,1069,1506,1707,4476,4668,5322,3259
0.113,1.349,276095,93.11500000000,23.82000000000,6318,5575,5184,4357,4145,1600,1250,1782,1561,4966,5429,6650,4068
0.113,1.348,289097,88.48300000000,23.78600000000,4616,3984,3970,3496,3019,1686,1156,1626,2230,5201,4398,4844,3352
0.113,1.348,277095,92.76600000000,23.78000000000,6692,5702,5337,4522,4371,1689,1648,2194,1996,5348,5763,6825,4340
0.113,1.348,284096,90.27700000000,23.76700000000,4780,3942,4227,3353,3152,1352,986,1451,1665,4637,4614,5334,3291
0.113,1.347,278095,92.41700000000,23.73900000000,6297,5293,4774,3975,3868,1637,1415,2016,2003,5135,5435,6497,4028
0.113,1.347,290097,88.13800000000,23.72100000000,4682,4004,3953,3488,3121,1896,1410,1842,2191,5172,4159,4794,3392
0.113,1.347,285096,89.93100000000,23.71100000000,4662,3913,4226,3422,3174,1334,1052,1557,1776,4744,4478,5145,3290
0.113,1.346,279095,92.06900000000,23.69500000000,6111,4879,4375,3485,3605,1589,1335,1840,1818,5116,5440,6524,3843
0.113,1.346,291097,87.79500000000,23.65400000000,4760,3947,3922,3621,3134,1994,1433,1919,2030,5272,4108,4665,3400
0.113,1.346,286096,89.58500000000,23.65400000000,4794,4013,4268,3933,3568,1546,1026,1857,2011,5173,4638,5250,3506
0.113,1.345,280095,91.72100000000,23.65000000000,5683,4705,4157,3205,3254,1482,994,1738,1705,5051,5311,6453,3644
0.113,1.344,281095,91.37400000000,23.60300000000,5289,4409,4264,3518,3436,1488,832,1593,1609,4761,5088,5966,3521
0.113,1.344,287096,89.24000000000,23.59500000000,4659,4075,3964,3446,3153,1408,1051,1790,2068,5098,4387,5125,3352
0.113,1.343,282095,91.02700000000,23.55400000000,5110,4167,4027,3276,2926,1377,979,1470,1585,4461,4855,5414,3303
0.113,1.343,288096,88.89600000000,23.53400000000,4522,3963,3816,3365,2855,1319,1010,1624,1842,4655,4261,4888,3176
0.112,1.342,283095,90.68200000000,23.50300000000,5170,4292,4411,3605,3391,1377,822,1407,1579,4855,4933,5780,3468
0.112,1.342,276094,93.15700000000,23.50100000000,6624,5812,5255,4325,4449,1735,1271,1932,1749,4765,5469,6716,4175
0.112,1.342,289096,88.55300000000,23.47100000000,4591,4015,3940,3552,3073,1591,1186,1933,2116,5124,4329,4931,3365
0.112,1.342,277094,92.81000000000,23.46100000000,6663,5801,5221,4407,4597,1923,1400,2167,2124,5221,5567,6859,4329
0.112,1.341,284095,90.33600000000,23.45000000000,4809,4014,4213,3280,3086,1307,936,1427,1526,4689,4639,5433,3279
0.112,1.341,278094,92.46300000000,23.42000000000,6378,5296,4706,3866,4016,1608,1375,1994,2175,5198,5369,6480,4038
0.112,1.340,290096,88.21000000000,23.40700000000,4592,3994,3895,3576,3049,1669,1197,2026,2152,5101,4141,4760,3346
0.112,1.340,285095,89.99200000000,23.39500000000,4929,4190,4402,3847,3364,1458,886,1561,1761,4860,4782,5535,3464
0.112,1.340,279094,92.11700000000,23.37700000000,5780,4766,4581,3676,3719,1612,1219,1963,1943,5005,5128,6098,3790
0.112,1.339,291096,87.86900000000,23.34000000000,4700,4092,3988,3688,3178,1754,1216,1886,2063,5121,4188,4782,3388
0.112,1.339,286095,89.64800000000,23.33800000000,4607,4026,4208,3916,3364,1478,1011,1716,1906,5112,4405,5122,3405
0.112,1.339,280094,91.77100000000,23.33200000000,5623,4687,4396,3588,3533,1524,1137,1663,1769,4907,5199,6253,3689
0.112,1.338,281094,91.42600000000,23.28600000000,5521,4597,4322,3435,3407,1365,1013,1565,1648,4746,5052,6046,3559
0.112,1.338,287095,89.30500000000,23.28000000000,4603,4066,3806,3305,2881,1309,961,1642,1919,4794,4303,4994,3215
0.111,1.337,282094,91.08200000000,23.23700000000,5294,4482,4319,3572,3497,1319,884,1430,1586,4790,4901,5912,3498
0.111,1.337,288095,88.96300000000,23.21900000000,4533,3999,3799,3391,2863,1317,992,1667,1864,4609,4284,4865,3181
0.111,1.336,283094,90.73800000000,23.18600000000,5319,4472,4330,3646,3401,1330,927,1382,1609,4936,5044,6003,3533
0.111,1.336,276093,93.19900000000,23.18200000000,6809,6236,5586,4827,4820,2146,1350,2113,1898,4819,5248,6620,4372
0.111,1.335,289095,88.62200000000,23.15700000000,4502,3943,3827,3334,2782,1502,1110,1837,1942,4591,4208,4725,3191
0.111,1.335,277093,92.85300000000,23.14400000000,6844,6232,5353,4486,4774,2193,1582,2353,2359,5073,5461,6629,4444
